ID,Left eye tracking error degrees,Right eye tracking error degrees,Age years,Inter pupillary distance mm,Gender,Eye colour,Skin tone,Ethnic background,Makeup,Dominant eye,Eyewear type,Eyewear lens type,Eyewear frame type,Eyewear frame thickness,Eyewear lens height,Eyewear coating anti-reflective,Eyewear coating anti-scratch,Eyewear coating anti-fog,Eyewear coating anti-UV,Eyewear coating anti-smudge,Eyewear coating blue-filter
ID0699,1.11307,1.4801,23,66,Male,blue-green,light,Europe,no makeup,left,Eyeglasses,Single-vision,Full,Thick,Normal,No,No,No,No,No,No
ID0701,2.73558,1.34931,25,63,female,brown,medium,south Asia,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0703,0.631071,0.942418,43,70,male,blue,light,europe,no makeup,left,Eyeglasses,Single-vision,Full,Narrow,Low,Yes,Yes,,,,
ID0705,1.02974,1.32722,46,64.5,male,blue-green,light,Europe,no makeup,right,Eyeglasses,Single-vision,Full,Narrow,Low,Yes,,,,Yes,
ID0801,1.770145,2.08805,35,69.5,male,green,light,Europe,no makeup,right,Eyeglasses,Single-vision,Full,Medium,Low,,,,,,
ID0802,0.9526905,0.8976155,37,68,male,green,light,Europe,no makeup,right,Eyeglasses,Single-vision,Full,Narrow,Normal,Yes,,,,,
ID0804,0.7308575,1.0818,53,68.5,male,blue/green,light,Europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0805,1.298855,1.364755,36,64.5,male,brown,medium,South- Asia ,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0806,1.072665,0.782309,28,63,male,black,medium,South- Asia ,no makeup,right,Eyeglasses,Single-vision,Full,Medium,Normal,Yes,,,,,
ID0807,1.055518,0.7693685,28,60.5,female,brown,medium,South- Asia ,light eye-makeup,left,Eyeglasses,Single-vision,Full,Medium,Normal,,,,,,
ID0808,0.453099,0.6715435,31,63.5,female,grey/green,Light,Europe,light eye-makeup,left,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0809,0.6471675,0.9052885,28,66.5,male,brown,light,europe,no makeup,right,Eyeglasses,Single-vision,Full,Narrow,Normal,Yes,Yes,,,,Yes
